Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x2d4a1929e92fb569a3bff9e4b3fa1897b11b2bafb3a2d7b267b9c8f7d976d2ac,2023-12-06 00:00:00,Public Goods,Large Grants,-10000.0,-10000.0,USDC,1
0x2d4a1929e92fb569a3bff9e4b3fa1897b11b2bafb3a2d7b267b9c8f7d976d2ac,2023-12-06 00:00:00,Public Goods,Large Grants,-10000.0,-10000.0,USDC,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-2.0,-4404.66,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-2.0,-4404.66,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-3.0,-6606.99,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-5.0,-11011.65,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x198de4aef0bdb7f080932facf9a1f6f0ea2ddbe8a19b2a19f617fa4afc97d17f,2023-12-12 23:05:59,Public Goods,PG Small Grants,-0.3,-660.699,ETH,1
0x178ee258deec25af0a362a0e7276cf4a4045d1b71c07aa2a8cdd2432f2d20ebf,2023-12-18 00:00:00,Public Goods,Large Grants,-17500.0,-17500.0,USDC,1
0x178ee258deec25af0a362a0e7276cf4a4045d1b71c07aa2a8cdd2432f2d20ebf,2023-12-18 00:00:00,Public Goods,Large Grants,-12500.0,-12500.0,USDC,1
0x178ee258deec25af0a362a0e7276cf4a4045d1b71c07aa2a8cdd2432f2d20ebf,2023-12-18 00:00:00,Public Goods,Large Grants,-20000.0,-20000.0,USDC,1
0x3243fc29e6e31ec2782230318055e3f45b753846d9f53b81ba99887ffc2c705a,2023-12-18 00:00:00,Public Goods,Sponsorship,-23000.0,-23000.0,USDC,1
0x178ee258deec25af0a362a0e7276cf4a4045d1b71c07aa2a8cdd2432f2d20ebf,2023-12-18 00:00:00,Public Goods,Large Grants,-20000.0,-20000.0,USDC,1
0x178ee258deec25af0a362a0e7276cf4a4045d1b71c07aa2a8cdd2432f2d20ebf,2023-12-18 00:00:00,Public Goods,Large Grants,-20000.0,-20000.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-2000.0,-2000.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-285.0,-285.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-95.0,-95.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-95.0,-95.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-95.0,-95.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-285.0,-285.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-285.0,-285.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-285.0,-285.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-1000.0,-1000.0,USDC,1
0xd461abe7355a120e06332598e5bfa1a3ce5cc158c8c5fdc1cd74fb30e0ee2da7,2023-12-20 00:00:00,Public Goods,Translators,-285.0,-285.0,USDC,1
