Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x4b83fe3c6e1814710b3a8b4a3027bbe112481c61150a4033268422c4f253d6c3,2023-06-30 00:00:00,Ecosystem,Fellowship,-5000.0,-5000.0,USDC,1
0x0478a0be769a5bb2b0f4e506a373e42b99eca005cd710665497d1fdd31e390ed,2023-06-30 00:00:00,Ecosystem,$ENS Distribution,-3000.0,-27738.47,ENS,1
0x9b12515a8c62202515fce8a488a3186fe3f249eb0f4a3f28f4bae6ace7d36b1e,2023-07-26 00:00:00,Ecosystem,Newsletter,-18000.0,-18000.0,USDC,1
0xd87a95603774f753e1bb31d8b8c4937588f281d946b42fc35ab74c9be394435c,2023-08-24 00:00:00,Ecosystem,Grants,-50000.0,-50000.0,USDC,1
0xd87a95603774f753e1bb31d8b8c4937588f281d946b42fc35ab74c9be394435c,2023-08-24 23:02:47,Ecosystem,Grants,-25.0,-41512.25,ETH,1
0x3296d57610af4805ed5e25e8112d48ae47933049490348d3ee8d7cdadffeed65,2023-08-24 23:09:11,Ecosystem,ENS Fairy,-10.0,-16604.9,ETH,1
0xe642125cf3f7997b6971b97a98c1fabe7a0d02ad3d155b4269e588c4a7e6afe4,2023-09-03 17:33:35,Ecosystem,ENS Fairy,-1.0,-1635.73,ETH,1
0xf18ed4af70a40ae782de00a7ed48f6d967bf87d8d32ba35a826784db7b684ab8,2023-09-08 00:00:00,Ecosystem,Grants,-10000.0,-10000.0,USDC,1
0xdf3e588d1b1b97ca42fd89825b36f7ea4dd0e32002ff935cb75e1d8a29b0dfb8,2023-09-17 16:29:59,Ecosystem,Prop House,-15.381870312375021,-24965.6984292034,ETH,1
