Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0xba2d416311f898f10d42682e4962bf79ede953c22233f2c5af26d67667f04434,2021-05-14,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-607714.79,ETH,1
0xba2d416311f898f10d42682e4962bf79ede953c22233f2c5af26d67667f04434,2021-05-14,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,598446.712403,598494.6,USDC,1
0x4f646f56a56f651fde96efdda8d8af6545e45e43858b393d560030aa97edbe90,2021-05-16,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,569350.980259,575607.43,USDC,1
0x4f646f56a56f651fde96efdda8d8af6545e45e43858b393d560030aa97edbe90,2021-05-16,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-538084.22,ETH,1
0x11d5f937018505a1cdd74edd7d29939d89e8976794868eadad37914e9190cf58,2021-05-17,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-491029.53,ETH,1
0x11d5f937018505a1cdd74edd7d29939d89e8976794868eadad37914e9190cf58,2021-05-17,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,501716.624277,502513.4,USDC,1
0x652d98d121a5f57da7d3f80eb157c4150594599e907d24f5b7b93ab3f48b99e1,2021-05-18,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-503275.47,ETH,1
0x652d98d121a5f57da7d3f80eb157c4150594599e907d24f5b7b93ab3f48b99e1,2021-05-18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,502817.448006,503682.25,USDC,1
0xeb03a696f0ce8b56d15d77fffe217f4e442ae6bdc43460783196805a2f510528,2021-05-18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,502745.813879,503610.49,USDC,1
0xeb03a696f0ce8b56d15d77fffe217f4e442ae6bdc43460783196805a2f510528,2021-05-18,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-503275.47,ETH,1
0xab3ba915fe283834a7f49423eaefc63e15a5c3cac3e9938b6d1bd7595bb25608,2021-05-19,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,0x0ed5b771c5e2b87ff56946dcc40224265fd942ac,SushiSwap,SushiSwap,-149.0,-371836.08,ETH,1
0xab3ba915fe283834a7f49423eaefc63e15a5c3cac3e9938b6d1bd7595bb25608,2021-05-19,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,396378.897202,395065.51,USDC,1
0x8448ea81a3609dcb74064fd93948047e528bbb6d81c0c6f46e2b097efa923043,2021-05-21,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,SushiSwap,SushiSwap,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,423223.606729,421995.32,USDC,1
