Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0xe3c9e56764fc1564c214e2ef6367eef38429e16a649404ef7cdf33cf332adc2f,2022-12-25 00:00:00,Metagov,DAO Tooling,-10.0,-110.14,ENS,1
0xddb06186bda3c5a04dab91b53a70cada0091306735af4361bb4f868845edf796,2023-01-01 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xddb06186bda3c5a04dab91b53a70cada0091306735af4361bb4f868845edf796,2023-01-01 00:00:00,Metagov,Steward Compensation,-5000.0,-5000.0,USDC,1
0xddb06186bda3c5a04dab91b53a70cada0091306735af4361bb4f868845edf796,2023-01-01 00:00:00,Metagov,Steward Compensation,-7000.0,-7000.0,USDC,1
0xddb06186bda3c5a04dab91b53a70cada0091306735af4361bb4f868845edf796,2023-01-01 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xddb06186bda3c5a04dab91b53a70cada0091306735af4361bb4f868845edf796,2023-01-01 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xe5dbc19fc7623c1002fe8eaf6f2a8e541baa0ce9eba3b94ec09cc915a6199ea7,2023-01-03 00:00:00,Metagov,Steward Compensation,-9665.0,-9665.0,USDC,1
0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7,2023-02-09 00:00:00,DAO Wallet,Metagov,3500.0,49034.39,ENS,1
0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7,2023-02-09 00:00:00,DAO Wallet,Metagov,364000.0,364000.0,USDC,1
0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7,2023-02-09 09:10:23,DAO Wallet,Metagov,125.0,193222.5,ETH,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-1600.0,-1600.0,USDC,1
0x81c1a0f965aca6ef8f7032533ffb2cd6c6d4d834e3f65864fdc5930f90bc1042,2023-02-13 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0xcf8b553398a13f2aaa30ffbd788842c1d9bee18fd1aa515736189eb159fdbd59,2023-02-13 00:00:00,Metagov,Governance,-40000.0,-40000.0,USDC,1
